genes,Description
Nbe.v1.s00190g23360,Belongs to the adaptor complexes large subunit family
Nbe.v1.s00190g23380,Fatty acid amide
Nbe.v1.s00190g23390,Zinc knuckle
Nbe.v1.s00190g23420,"3-hydroxyisobutyryl-CoA hydrolase-like protein 3, mitochondrial"
Nbe.v1.s00190g23440,Fibronectin type III domain
Nbe.v1.s00190g23450,"Specifically methylates the N1 position of guanosine-37 in various cytoplasmic and mitochondrial tRNAs. Methylation is not dependent on the nature of the nucleoside 5' of the target nucleoside. This is the first step in the biosynthesis of wybutosine (yW), a modified base adjacent to the anticodon of tRNAs and required for accurate decoding"
Nbe.v1.s00190g23460,Possibly involved in carbohydrate binding
Nbe.v1.s00190g23470,function
Nbe.v1.s00190g23480,function
Nbe.v1.s00190g23510,-
Nbe.v1.s00190g23530,-
Nbe.v1.s00190g23550,Polyketide cyclase / dehydrase and lipid transport
Nbe.v1.s00190g23560,Serine-threonine kinase receptor-associated
Nbe.v1.s00190g23570,Integral membrane protein DUF92
Nbe.v1.s00190g23580,ethanolamine kinase
Nbe.v1.s00190g23590,Belongs to the actin family
Nbe.v1.s00190g23610,"transposition, RNA-mediated"
Nbe.v1.s00190g23620,function
Nbe.v1.s00190g23630,"Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain"
Nbe.v1.s00190g23650,sugar phosphate phosphate translocator At3g11320
Nbe.v1.s00190g23660,Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Nbe.v1.s00190g23680,26S protease regulatory subunit 8 homolog
Nbe.v1.s00190g23720,Protein phosphatase 2C and cyclic nucleotide-binding kinase domain-containing protein
Nbe.v1.s00190g23730,Putative RNA methylase family UPF0020
Nbe.v1.s00190g23740,Zinc finger domain
Nbe.v1.s00190g23760,Ribonuclease H protein
Nbe.v1.s00190g23780,Potassium channel
Nbe.v1.s00190g23790,rRNA methyltransferase
Nbe.v1.s00190g23810,RNA methyltransferase At5g51130
Nbe.v1.s00190g23820,Transmembrane protein 234 homolog
Nbe.v1.s00190g23830,Belongs to the multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family
Nbe.v1.s00190g23870,-
Nbe.v1.s00190g23990,Domain of unknown function (DUF1985)
Nbe.v1.s00190g24010,Uncharacterized protein K02A2.6-like
Nbe.v1.s00190g24020,RNA binding
Nbe.v1.s00190g24030,RING-type zinc-finger
Nbe.v1.s00190g24050,non-haem dioxygenase in morphine synthesis N-terminal
Nbe.v1.s00190g24060,Leucine Rich repeats (2 copies)
Nbe.v1.s00190g24070,Plant family of unknown function (DUF810)
Nbe.v1.s00190g24080,Ribonuclease H protein
Nbe.v1.s00190g24090,isoform X1
Nbe.v1.s00190g24120,"CRS2-associated factor 1, chloroplastic"
Nbe.v1.s00190g24130,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Nbe.v1.s00190g24160,Anaphase-promoting complex subunit 11 RING-H2 finger
Nbe.v1.s00190g24170,Anaphase-promoting complex subunit 11 RING-H2 finger
Nbe.v1.s00190g24200,Ninja-family protein mc410
Nbe.v1.s00190g24230,May be involved in the degradation of misfolded endoplasmic reticulum (ER) luminal proteins
Nbe.v1.s00190g24240,Transcription factor FAMA
Nbe.v1.s00190g24250,26S proteasome non-ATPase regulatory subunit 1 homolog
Nbe.v1.s00190g24260,26S proteasome non-ATPase regulatory subunit 1
Nbe.v1.s00190g24280,ADP binding
Nbe.v1.s00190g24290,ADP binding
Nbe.v1.s00190g24340,-
Nbe.v1.s00190g24360,Mitochondrial ATP synthase g subunit
Nbe.v1.s00190g24370,O-methyltransferase
Nbe.v1.s00190g24380,Belongs to the SNF7 family
Nbe.v1.s00190g24390,-
Nbe.v1.s00190g24400,Belongs to the peptidase M16 family
Nbe.v1.s00190g24410,Domain of unknown function (DUF4283)
Nbe.v1.s00190g24420,isoform X1
Nbe.v1.s00190g24440,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00190g24450,Pleiotropic drug resistance protein 1-like
Nbe.v1.s00190g24460,Pleiotropic drug resistance protein 1-like
Nbe.v1.s00190g24470,Pleiotropic drug resistance protein 1-like
Nbe.v1.s00190g24490,Belongs to the class-I aminoacyl-tRNA synthetase family
Nbe.v1.s00190g24500,Belongs to the glycosyltransferase 2 family
Nbe.v1.s00190g24510,Ankyrin repeat domain-containing protein
Nbe.v1.s00190g24520,Ankyrin repeat domain-containing protein
Nbe.v1.s00190g24540,-
Nbe.v1.s00190g24560,gag-polypeptide of LTR copia-type
Nbe.v1.s00190g24570,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g24580,MO25-like protein At5g47540
Nbe.v1.s00190g24590,SAM dependent carboxyl methyltransferase
Nbe.v1.s00190g24600,"The primary product of this enzyme is 4,2',4',6'- tetrahydroxychalcone (also termed naringenin-chalcone or chalcone) which can under specific conditions spontaneously isomerize into naringenin"
Nbe.v1.s00190g24610,Dehydratase family
Nbe.v1.s00190g24630,Retinal pigment epithelial membrane protein
Nbe.v1.s00190g24640,Retinal pigment epithelial membrane protein
Nbe.v1.s00190g24650,Integrase core domain containing protein
Nbe.v1.s00190g24660,-
Nbe.v1.s00190g24670,strictosidine synthase activity
Nbe.v1.s00190g24700,Retroviral aspartyl protease
Nbe.v1.s00190g24710,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g24720,"DNA polymerase delta, subunit 4"
Nbe.v1.s00190g24730,-
Nbe.v1.s00190g24750,DNA-directed RNA
Nbe.v1.s00190g24760,zinc finger binding to DNA consensus sequence [AT]GATA[AG]
Nbe.v1.s00190g24780,Core-2/I-Branching enzyme
Nbe.v1.s00190g24790,Hydroxyethylthiazole kinase
Nbe.v1.s00190g24800,Belongs to the chaperonin (HSP60) family
Nbe.v1.s00190g24820,Beta-amylase
Nbe.v1.s00190g24830,"WD domain, G-beta repeat"
Nbe.v1.s00190g24840,serine threonine-protein kinase
Nbe.v1.s00190g24860,Amino-acid permease BAT1 homolog
Nbe.v1.s00190g24870,26S proteasome non-ATPase regulatory subunit 13 homolog
Nbe.v1.s00190g24880,Myb-like DNA-binding domain
Nbe.v1.s00190g24890,AWPM-19-like family
Nbe.v1.s00190g24900,tRNA pseudouridine synthase
Nbe.v1.s00190g24910,MuDR family transposase
Nbe.v1.s00190g24920,CBL-interacting serine threonine-protein kinase 1-like
Nbe.v1.s00190g24930,CBL-interacting serine threonine-protein kinase 1-like
Nbe.v1.s00190g24940,Fcf2 pre-rRNA processing
Nbe.v1.s00190g24950,Pto-interacting protein
Nbe.v1.s00190g24980,SBP domain
Nbe.v1.s00190g24990,Catalyzes the formation of S-adenosylmethionine from methionine and ATP
Nbe.v1.s00190g25000,DNA (cytosine-5-)-methyltransferase
Nbe.v1.s00190g25010,KH domain-containing protein
Nbe.v1.s00190g25020,Galactoside-binding lectin
Nbe.v1.s00190g25050,Sigma factor PP2C-like phosphatases
Nbe.v1.s00190g25060,Dihydrolipoyl dehydrogenase
Nbe.v1.s00190g25070,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Nbe.v1.s00190g25080,-
Nbe.v1.s00190g25090,Pentatricopeptide repeat-containing protein
Nbe.v1.s00190g25120,Stress responsive A/B Barrel Domain
Nbe.v1.s00190g25140,Transcription factor
Nbe.v1.s00190g25160,Belongs to the iron ascorbate-dependent oxidoreductase family
Nbe.v1.s00190g25170,Desiccation-related protein PCC13-62-like
Nbe.v1.s00190g25190,-
Nbe.v1.s00190g25200,Belongs to the cytochrome P450 family
Nbe.v1.s00190g25210,Cell wall vacuolar inhibitor of fructosidase 1-like
Nbe.v1.s00190g25220,-
Nbe.v1.s00190g25230,Conserved gene of
Nbe.v1.s00190g25270,WRKY transcription factor
Nbe.v1.s00190g25280,Binds specifically to cytosolic chaperonin (c-CPN) and transfers target proteins to it. Binds to nascent polypeptide chain and promotes folding in an environment in which there are many competing pathways for nonnative proteins
Nbe.v1.s00190g25320,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g25330,DNA RNA polymerases superfamily protein
Nbe.v1.s00190g25350,Regulatory photoreceptor which exists in two forms that are reversibly interconvertible by light the Pr form that absorbs maximally in the red region of the spectrum and the Pfr form that absorbs maximally in the far-red region
Nbe.v1.s00190g25360,Belongs to the GRAS family
Nbe.v1.s00190g25380,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Nbe.v1.s00190g25390,protein dimerization activity
Nbe.v1.s00190g25400,Dihydrolipoyl dehydrogenase
Nbe.v1.s00190g25410,Scarecrow-like protein 14
Nbe.v1.s00190g25420,RING-H2 zinc finger domain
Nbe.v1.s00190g25430,Retrotransposon gag protein
Nbe.v1.s00190g25440,"Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome"
Nbe.v1.s00190g25450,Ribonuclease H protein
Nbe.v1.s00190g25460,Thaumatin family
Nbe.v1.s00190g25470,"transposition, RNA-mediated"
Nbe.v1.s00190g25480,Uncharacterized protein K02A2.6-like
Nbe.v1.s00190g25490,L-type lectin-domain containing receptor kinase S.4-like
Nbe.v1.s00190g25500,Transcription factor that specifically binds AT-rich DNA sequences related to the nuclear matrix attachment regions (MARs)
Nbe.v1.s00190g25520,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00190g25530,Protein FAR-RED IMPAIRED RESPONSE 1-like
Nbe.v1.s00190g25560,Sigma factor PP2C-like phosphatases
Nbe.v1.s00190g25570,methyltransferase PMT11
Nbe.v1.s00190g25580,BTB POZ and MATH domain-containing protein 3-like isoform X1
Nbe.v1.s00190g25590,Regulator of chromosome condensation (RCC1) repeat
Nbe.v1.s00190g25600,Plant non-specific lipid-transfer proteins transfer phospholipids as well as galactolipids across membranes. May play a role in wax or cutin deposition in the cell walls of expanding epidermal cells and certain secretory tissues
Nbe.v1.s00190g25630,GAG-pre-integrase domain
Nbe.v1.s00190g25640,"Catalyzes conversion of folates to polyglutamate derivatives allowing concentration of folate compounds in the cell and the intracellular retention of these cofactors, which are important substrates for most of the folate-dependent enzymes that are involved in one-carbon transfer reactions involved in purine, pyrimidine and amino acid synthesis"
Nbe.v1.s00190g25660,Protein DA1
Nbe.v1.s00190g25730,Myb/SANT-like DNA-binding domain
Nbe.v1.s00190g25780,Protein FAR1-RELATED SEQUENCE
Nbe.v1.s00190g25790,RNA recognition motif
Nbe.v1.s00190g25840,RNase H family protein
Nbe.v1.s00190g25850,RNase H family protein
Nbe.v1.s00190g25870,leucine-rich repeat receptor-like protein kinase At5g49770
Nbe.v1.s00190g25880,26S protease regulatory subunit 8 homolog
Nbe.v1.s00190g25900,RNase H family protein
Nbe.v1.s00190g25920,Conserved gene of
Nbe.v1.s00190g25930,Protein kinase domain
Nbe.v1.s00190g25950,GTPase-activating protein
Nbe.v1.s00190g25960,mRNA transport
Nbe.v1.s00190g25970,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00190g25980,Zinc finger CCCH domain-containing protein
Nbe.v1.s00190g25990,Signal recognition particle receptor beta subunit
Nbe.v1.s00190g26000,-
Nbe.v1.s00190g26020,Ribosomal protein S10
Nbe.v1.s00190g26030,glycine-rich cell wall structural protein
Nbe.v1.s00190g26050,Belongs to the Glu Leu Phe Val dehydrogenases family
Nbe.v1.s00190g26080,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00190g26090,"ATPase activity, coupled to transmembrane movement of substances"
Nbe.v1.s00190g26100,Metacaspase-1-like
Nbe.v1.s00190g26110,ATP synthase subunit delta'
Nbe.v1.s00190g26120,GTPase involved in protein precursor import into chloroplasts. Seems to recognize chloroplast-destined precursor proteins and regulate their presentation to the translocation channel through GTP hydrolysis
Nbe.v1.s00190g26130,Acetyltransferase (GNAT) domain
Nbe.v1.s00190g26140,C2C2 Zinc finger
Nbe.v1.s00190g26160,inactive serine threonine-protein kinase scy1 isoform X1
Nbe.v1.s00190g26170,-
Nbe.v1.s00190g26180,U-box domain-containing protein 62
Nbe.v1.s00190g26190,-
Nbe.v1.s00190g26200,Belongs to the chalcone isomerase family
Nbe.v1.s00190g26210,Rare lipoprotein A (RlpA)-like double-psi beta-barrel
Nbe.v1.s00190g26220,Appr-1'-p processing enzyme
Nbe.v1.s00190g26230,Destroys radicals which are normally produced within the cells and which are toxic to biological systems
Nbe.v1.s00190g26240,Belongs to the peroxidase family
Nbe.v1.s00190g26250,Domain of unknown function (DUF4283)
Nbe.v1.s00190g26260,Epidermal growth factor-like domain.
Nbe.v1.s00190g26270,Amino acid transporter
Nbe.v1.s00190g26290,Alpha-soluble NSF attachment
Nbe.v1.s00190g26300,Sodium/hydrogen exchanger family
Nbe.v1.s00190g26320,Probably inactive leucine-rich repeat receptor-like protein kinase IMK2
Nbe.v1.s00190g26330,Lignin degradation and detoxification of lignin-derived products
Nbe.v1.s00190g26340,Lignin degradation and detoxification of lignin-derived products
Nbe.v1.s00190g26350,Lignin degradation and detoxification of lignin-derived products
Nbe.v1.s00190g26360,DNA-binding domain in plant proteins such as APETALA2 and EREBPs
Nbe.v1.s00190g26370,Abscisic acid receptor
Nbe.v1.s00190g26390,PMR5 N terminal Domain
Nbe.v1.s00190g26400,Protein trichome birefringence-like 33
Nbe.v1.s00190g26410,Protein trichome birefringence-like 33
Nbe.v1.s00190g26430,Protein trichome birefringence-like 33
Nbe.v1.s00190g26435,Autophagy-related protein 27
Nbe.v1.s00190g26440,isoform X1
Nbe.v1.s00190g26450,"Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidation"
Nbe.v1.s00190g26460,Histidine phosphatase superfamily (branch 2)
Nbe.v1.s00190g26470,Belongs to the GDA1 CD39 NTPase family
Nbe.v1.s00190g26490,Pentatricopeptide repeat-containing protein
Nbe.v1.s00190g26500,Putative S-adenosyl-L-methionine-dependent methyltransferase
Nbe.v1.s00190g26510,Proline-rich protein
Nbe.v1.s00190g26520,Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
Nbe.v1.s00190g26530,phosphatase 2c
Nbe.v1.s00190g26560,Transcription factor DIVARICATA-like
Nbe.v1.s00190g26570,"sedoheptulose-1,7-bisphosphatase"
Nbe.v1.s00190g26580,Belongs to the sterol desaturase family
Nbe.v1.s00190g26590,GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
Nbe.v1.s00190g26600,Plant lipid transfer protein / seed storage protein / trypsin-alpha amylase inhibitor domain family
Nbe.v1.s00190g26610,"Dual specificity phosphatase, catalytic domain"
Nbe.v1.s00190g26620,zinc finger
Nbe.v1.s00190g26640,catalytic domain of ctd-like phosphatases
Nbe.v1.s00190g26650,"sedoheptulose-1,7-bisphosphatase"
Nbe.v1.s00190g26660,Transcription factor DIVARICATA-like
Nbe.v1.s00190g26670,Coronatine-insensitive protein
Nbe.v1.s00190g26680,Integrase core domain containing protein
Nbe.v1.s00190g26690,Belongs to the mitochondrial carrier (TC 2.A.29) family
Nbe.v1.s00190g26700,-
Nbe.v1.s00190g26710,acetyltransferase At3g50280-like
Nbe.v1.s00190g26740,Ribonuclease H protein
Nbe.v1.s00190g26780,acetyltransferase At3g50280-like
Nbe.v1.s00190g26790,"Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation"
Nbe.v1.s00190g26800,Pyridine nucleotide-disulphide oxidoreductase
Nbe.v1.s00190g26810,-
Nbe.v1.s00190g26830,ribosomal protein
Nbe.v1.s00190g26840,Pleckstrin homology domain-containing protein 1-like
Nbe.v1.s00190g26850,Pleckstrin homology domain-containing protein 1-like
Nbe.v1.s00190g26860,ATP binding protein
Nbe.v1.s00190g26870,-
Nbe.v1.s00190g26880,phospholipase C
Nbe.v1.s00190g26890,tyrosine-protein phosphatase At1g05000
Nbe.v1.s00190g26900,Pollen-specific protein SF3-like
Nbe.v1.s00190g26910,sugar phosphate phosphate translocator At3g11320
Nbe.v1.s00190g26940,60S ribosomal protein
Nbe.v1.s00190g26950,Proline transporter
Nbe.v1.s00190g26970,Proline transporter
Nbe.v1.s00190g26980,Proline transporter
Nbe.v1.s00190g26990,clathrin light chain binding
Nbe.v1.s00190g27020,-
Nbe.v1.s00190g27040,Protein of unknown function (DUF620)
Nbe.v1.s00190g27050,7-deoxyloganetic acid glucosyltransferase-like
Nbe.v1.s00190g27060,Rab subfamily of small GTPases
Nbe.v1.s00190g27090,ABC transporter transmembrane region
Nbe.v1.s00190g27100,"Inositol polyphosphate phosphatase, catalytic domain homologues"
Nbe.v1.s00190g27120,Ribosomal protein P0 is the functional equivalent of E.coli protein L10
Nbe.v1.s00190g27130,Ribose-phosphate pyrophosphokinase
Nbe.v1.s00190g27160,gag-polypeptide of LTR copia-type
Nbe.v1.s00190g27170,Ribonuclease H protein
Nbe.v1.s00190g27180,Belongs to the pyruvate kinase family
Nbe.v1.s00190g27190,POT family
Nbe.v1.s00190g27200,-
Nbe.v1.s00190g27210,POT family
Nbe.v1.s00190g27230,-
Nbe.v1.s00190g27240,"transposition, RNA-mediated"
Nbe.v1.s00190g27270,"transposition, RNA-mediated"
Nbe.v1.s00190g27280,Encoded by
Nbe.v1.s00190g27310,-
Nbe.v1.s00190g27340,Belongs to the syntaxin family
Nbe.v1.s00190g27350,-
Nbe.v1.s00190g27360,heat shock factor
Nbe.v1.s00190g27390,Potassium channel
Nbe.v1.s00190g27430,Repair protein Rad1/Rec1/Rad17
Nbe.v1.s00190g27470,-
Nbe.v1.s00190g27480,SNARE associated Golgi protein
Nbe.v1.s00190g27490,"transposition, RNA-mediated"
Nbe.v1.s00190g27500,RNA recognition motif
Nbe.v1.s00190g27510,synthase
Nbe.v1.s00190g27540,Belongs to the peptidase A1 family
Nbe.v1.s00190g27560,RING-type zinc-finger
Nbe.v1.s00190g27600,-
Nbe.v1.s00190g27610,GWT1
Nbe.v1.s00190g27620,gag-polypeptide of LTR copia-type
Nbe.v1.s00190g27630,helix loop helix domain
Nbe.v1.s00190g27640,isoform X1
Nbe.v1.s00190g27650,"Programmed cell death protein 2, C-terminal putative domain"
Nbe.v1.s00190g27660,NAD(P)H-binding
Nbe.v1.s00190g27690,Ribonuclease H protein
Nbe.v1.s00190g27700,zinc-binding in reverse transcriptase
Nbe.v1.s00190g27710,Esterifies acyl-group from acyl-ACP to the sn-1 position of glycerol-3-phosphate. The enzyme from chilling-resistant plants discriminates against non-fluid palmitic acid and selects oleic acid whereas the enzyme from sensitive plants accepts both fatty acids
Nbe.v1.s00190g27740,Ribonuclease H protein
Nbe.v1.s00190g27750,Ribonuclease H protein
Nbe.v1.s00190g27760,Ribonuclease H protein
Nbe.v1.s00190g27790,Domain of unknown function (DUF4283)
Nbe.v1.s00190g27800,RCD1-SRO-TAF4 (RST) plant domain
Nbe.v1.s00190g27810,shikimate kinase like 2
Nbe.v1.s00190g27820,Integrase core domain containing protein
Nbe.v1.s00190g27840,C5HC2 zinc finger
Nbe.v1.s00190g27860,homologous chromosome orientation involved in meiotic metaphase I plate congression
Nbe.v1.s00190g27880,ubiquitin-protein transferase activity
Nbe.v1.s00190g27890,Leucine Rich Repeat
Nbe.v1.s00190g27940,Lipase (class 3)
Nbe.v1.s00190g27950,Protein of unknown function (DUF1664)
Nbe.v1.s00190g27980,in StAR and phosphatidylcholine transfer protein
Nbe.v1.s00190g28010,K02A2.6-like
Nbe.v1.s00190g28060,RING/Ubox like zinc-binding domain
Nbe.v1.s00190g28080,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Nbe.v1.s00190g28100,gag-polypeptide of LTR copia-type
Nbe.v1.s00190g28110,Glutaredoxin
Nbe.v1.s00190g28130,endoplasmic reticulum
Nbe.v1.s00190g28140,-
Nbe.v1.s00190g28150,"Remorin, C-terminal region"
Nbe.v1.s00190g28160,Ribonuclease H protein
Nbe.v1.s00190g28180,RNase H family protein
Nbe.v1.s00190g28190,-
Nbe.v1.s00190g28210,spliceosomal complex assembly
Nbe.v1.s00190g28220,"transposition, RNA-mediated"
Nbe.v1.s00190g28230,spliceosomal complex assembly
Nbe.v1.s00190g28250,Beta-lactamase superfamily domain
